feature_name,formula,source_cols,description,category,domain,freq_group,fill_policy,status,created_at,version
mf_imbalance_lg,($buy_lg_amount - $sell_lg_amount) / ($buy_lg_amount + $sell_lg_amount + 1e-8),"buy_lg_amount,sell_lg_amount",大单不平衡,moneyflow,A,eod,forward,active,2026/4/25,1
mf_imbalance_elg,($buy_elg_amount - $sell_elg_amount) / ($buy_elg_amount + $sell_elg_amount + 1e-8),"buy_elg_amount,sell_elg_amount",特大单不平衡,moneyflow,A,eod,forward,active,2026/4/25,1
mf_net_ratio,$net_mf_amount / ($buy_sm_amount + $buy_md_amount + $buy_lg_amount + $buy_elg_amount + $sell_sm_amount + $sell_md_amount + $sell_lg_amount + $sell_elg_amount + 1e-8),net_mf_amount,资金净流入比例,moneyflow,A,eod,forward,active,2026/4/25,1
mf_pressure,($buy_lg_amount + $buy_elg_amount) / ($sell_lg_amount + $sell_elg_amount + 1e-8),"buy_lg_amount,buy_elg_amount,sell_lg_amount,sell_elg_amount",资金压力,moneyflow,A,eod,forward,active,2026/4/25,1
mf_acceleration,"TsDelta($net_mf_amount, 1)",net_mf_amount,资金流入加速度,moneyflow,A,eod,forward,active,2026/4/25,1
